680224-5283,Mikael,Olsson,Mikael.Olsson@myclub.se,0,-58492800000,257126400000,1
971020-5242,Marie,Petersson,Marie.Petersson@myclub.se,1,877305600000,1192838400000,1
020323-1313,Andreas,Nyberg,Andreas.Nyberg@myclub.se,0,1016841600000,1332460800000,1
070831-6724,Elsa,Jönsson,Elsa.Jönsson@myclub.se,1,1188518400000,1346371200000,1
820411-6073,Olov,Johansson,Olov.Johansson@myclub.se,0,387331200000,702950400000,1
700712-9428,Inger,Petersson,Inger.Petersson@myclub.se,1,16588800000,332208000000,1
660105-5519,William,Engström,William.Engström@myclub.se,0,-125884800000,189648000000,1
860310-9511,Ann,Olofsson,Ann.Olofsson@myclub.se,1,510796800000,826416000000,1
750301-7314,Christian,Petersson,Christian.Petersson@myclub.se,0,162864000000,478483200000,1
660801-8749,Anna,Lundberg,Anna.Lundberg@myclub.se,1,-107913600000,207705600000,1
740717-8653,Anders,Lindqvist,Anders.Lindqvist@myclub.se,0,143251200000,458870400000,1
030225-9567,Margareta,Pettsson,Margareta.Pettsson@myclub.se,1,1046131200000,1361750400000,1
020228-3152,Martin,Arvidsson,Martin.Arvidsson@myclub.se,0,1014854400000,1330473600000,1
030107-2306,Camilla,Lindgren,Camilla.Lindgren@myclub.se,1,1041897600000,1357516800000,1
841012-3367,Ingemar,Sjöberg,Ingemar.Sjöberg@myclub.se,0,466387200000,780969600000,1
010513-5601,Sara,Larsson,Sara.Larsson@myclub.se,1,989712000000,1305244800000,1
971020-2926,Rune,Henriksson,Rune.Henriksson@myclub.se,0,877305600000,1192838400000,1
600914-9018,Linnea,Lindström,Linnea.Lindström@myclub.se,1,-293414400000,22118400000,1
860724-5018,Ingemar,Pettersson,Ingemar.Pettersson@myclub.se,0,522547200000,838166400000,1
940814-1978,Yvonne,Lindström,Yvonne.Lindström@myclub.se,1,776822400000,1092441600000,1
960604-1304,Nils,Lundqvist,Nils.Lundqvist@myclub.se,0,833846400000,1149379200000,1
040606-6545,Malin,Gustavsson,Malin.Gustavsson@myclub.se,1,1086480000000,1402012800000,1
960918-9163,Kent,Gustavsson,Kent.Gustavsson@myclub.se,0,843004800000,1158537600000,1
000405-8828,Margareta,Pettersson,Margareta.Pettersson@myclub.se,1,954892800000,1270425600000,1
610121-3420,Oskar,Lundgren,Oskar.Lundgren@myclub.se,0,-282268800000,33264000000,1
880722-6780,Karin,Lundgren,Karin.Lundgren@myclub.se,1,585532800000,901065600000,1
720521-1122,Ulf,Håkansson,Ulf.Håkansson@myclub.se,0,75254400000,390787200000,1
950622-9912,Agneta,Berglund,Agneta.Berglund@myclub.se,1,803779200000,1119398400000,1
731125-8201,Carl,Mattsson,Carl.Mattsson@myclub.se,0,123033600000,438566400000,1
730812-5509,Sofia,Hansson,Sofia.Hansson@myclub.se,1,113961600000,429494400000,1
000616-3092,Joakim,Persson,Joakim.Persson@myclub.se,0,961113600000,1276646400000,1
041217-4086,Sofia,Söderberg,Sofia.Söderberg@myclub.se,1,1103241600000,1418774400000,1
631221-1062,Fredrik,Jonsson,Fredrik.Jonsson@myclub.se,0,-190339200000,125280000000,1
010506-7120,Karin,Nyberg,Karin.Nyberg@myclub.se,1,989107200000,1304640000000,1
650207-9700,Lennart,Lindqvist,Lennart.Lindqvist@myclub.se,0,-154569600000,160963200000,1
