name,surname,email,gender,birthdate,joindate,active
Göran,Berg,Göran.Berg@myclub.se,man,2005-12-05,2015-12-05,1
Emelie,Jakobsson,Emelie.Jakobsson@myclub.se,kvinna,2008-07-05,2018-07-05,1
Ove,Lindqvist,Ove.Lindqvist@myclub.se,man,1969-11-07,1979-11-07,1
Åsa,Isaksson,Åsa.Isaksson@myclub.se,kvinna,2009-09-08,2019-09-08,1
Christian,Jönsson,Christian.Jönsson@myclub.se,man,2003-03-24,2013-03-24,1
Julia,Mårtensson,Julia.Mårtensson@myclub.se,kvinna,1969-06-06,1979-06-06,1
Mattias,Eriksson,Mattias.Eriksson@myclub.se,man,1985-02-09,1995-02-09,1
Matilda,Håkansson,Matilda.Håkansson@myclub.se,kvinna,1984-11-24,1994-11-24,1
Stefan,Lundin,Stefan.Lundin@myclub.se,man,1983-07-23,1993-07-23,1
Elin,Lindström,Elin.Lindström@myclub.se,kvinna,2001-01-26,2011-01-26,1
Martin,Fransson,Martin.Fransson@myclub.se,man,1979-05-31,1989-05-31,1
Frida,Olofsson,Frida.Olofsson@myclub.se,kvinna,1983-03-05,1993-03-05,1
Erik,Pettersson,Erik.Pettersson@myclub.se,man,1991-07-19,2001-07-19,1
Matilda,Lindqvist,Matilda.Lindqvist@myclub.se,kvinna,1983-02-21,1993-02-21,1
Thomas,Lundberg,Thomas.Lundberg@myclub.se,man,2003-11-13,2023-11-13,1
Christina,Nilsson,Christina.Nilsson@myclub.se,kvinna,1985-07-20,1995-07-20,1
Bengt,Fransson,Bengt.Fransson@myclub.se,man,2006-12-16,2012-12-16,1
Elsa,Lundqvist,Elsa.Lundqvist@myclub.se,kvinna,2004-02-17,2019-02-17,1
David,Bergman,David.Bergman@myclub.se,man,1996-01-09,2006-01-09,1
Kerstin,Lundberg,Kerstin.Lundberg@myclub.se,kvinna,2003-06-01,2013-06-01,1
Stefan,Gunnarsson,Stefan.Gunnarsson@myclub.se,man,1988-12-04,1998-12-04,1
Elisabeth,Lundqvist,Elisabeth.Lundqvist@myclub.se,kvinna,1988-04-06,1998-04-06,1
Bengt,Håkansson,Bengt.Håkansson@myclub.se,man,1998-03-17,2008-03-17,1
Marie,Mårtensson,Marie.Mårtensson@myclub.se,kvinna,1974-11-05,1984-11-05,1
Niklas,Bergström,Niklas.Bergström@myclub.se,man,2001-05-04,2011-05-04,1
Kristina,Johnsson,Kristina.Johnsson@myclub.se,kvinna,1966-11-15,1976-11-15,1
John,Larsson,John.Larsson@myclub.se,man,1976-03-27,1986-03-27,1
Louise,Andersson,Louise.Andersson@myclub.se,kvinna,1975-09-26,1985-09-26,1
Roger,Mårtensson,Roger.Mårtensson@myclub.se,man,2001-08-23,2011-08-23,1
Sofia,Larsson,Sofia.Larsson@myclub.se,kvinna,1968-12-20,1978-12-20,1
Björn,Samuelsson,Björn.Samuelsson@myclub.se,man,1966-07-02,1976-07-02,1
Margareta,Lindberg,Margareta.Lindberg@myclub.se,kvinna,1981-08-25,1991-08-25,1
Christer,Hansson,Christer.Hansson@myclub.se,man,1988-12-31,1998-12-31,1
Caroline,Lundberg,Caroline.Lundberg@myclub.se,kvinna,1964-08-16,1974-08-16,1
Gustav,Jonsson,Gustav.Jonsson@myclub.se,man,1996-01-13,2006-01-13,1
Marie,Magnusson,Marie.Magnusson@myclub.se,kvinna,1966-12-15,1976-12-15,1
Nils,Engström,Nils.Engström@myclub.se,man,1974-09-30,1984-09-30,1
Margaretha,Fransson,Margaretha.Fransson@myclub.se,kvinna,1981-04-14,1991-04-14,1
Jonas,Johansson,Jonas.Johansson@myclub.se,man,2002-08-21,2012-08-21,1
Margaretha,Söderberg,Margaretha.Söderberg@myclub.se,kvinna,1966-10-21,1976-10-21,1
Tomas,Berg,Tomas.Berg@myclub.se,man,1989-07-01,1999-07-01,1
Lisa,Isaksson,Lisa.Isaksson@myclub.se,kvinna,1978-04-25,1988-04-25,1
Mikael,Olsson,Mikael.Olsson@myclub.se,man,1968-02-24,1978-02-24,1
Marie,Petersson,Marie.Petersson@myclub.se,kvinna,1997-10-20,2007-10-20,1
Andreas,Nyberg,Andreas.Nyberg@myclub.se,man,2002-03-23,2012-03-23,1
Elsa,Jönsson,Elsa.Jönsson@myclub.se,kvinna,2007-08-31,2012-08-31,1
Olov,Johansson,Olov.Johansson@myclub.se,man,1982-04-11,1992-04-11,1
Inger,Petersson,Inger.Petersson@myclub.se,kvinna,1970-07-12,1980-07-12,1
William,Engström,William.Engström@myclub.se,man,1966-01-05,1976-01-05,1
Ann,Olofsson,Ann.Olofsson@myclub.se,kvinna,1986-03-10,1996-03-10,1
Christian,Petersson,Christian.Petersson@myclub.se,man,1975-03-01,1985-03-01,1
Anna,Lundberg,Anna.Lundberg@myclub.se,kvinna,1966-08-01,1976-08-01,1
Anders,Lindqvist,Anders.Lindqvist@myclub.se,man,1974-07-17,1984-07-17,1
Margareta,Pettsson,Margareta.Pettsson@myclub.se,kvinna,2003-02-25,2013-02-25,1
Martin,Arvidsson,Martin.Arvidsson@myclub.se,man,2002-02-28,2012-02-29,1
Camilla,Lindgren,Camilla.Lindgren@myclub.se,kvinna,2003-01-07,2013-01-07,1
Ingemar,Sjöberg,Ingemar.Sjöberg@myclub.se,man,1984-10-12,1994-10-1,1
Sara,Larsson,Sara.Larsson@myclub.se,kvinna,2001-05-13,2011-05-13,1
Rune,Henriksson,Rune.Henriksson@myclub.se,man,1997-10-20,2007-10-20,1
Linnea,Lindström,Linnea.Lindström@myclub.se,kvinna,1960-09-14,1970-09-14,1
Ingemar,Pettersson,Ingemar.Pettersson@myclub.se,man,1986-07-24,1996-07-24,1
Yvonne,Lindström,Yvonne.Lindström@myclub.se,kvinna,1994-08-14,2004-08-14,1
Nils,Lundqvist,Nils.Lundqvist@myclub.se,man,1996-06-04,2006-06-04,1
Malin,Gustavsson,Malin.Gustavsson@myclub.se,kvinna,2004-06-06,2014-06-06,1
Kent,Gustavsson,Kent.Gustavsson@myclub.se,man,1996-09-18,2006-09-18,1
Margareta,Pettersson,Margareta.Pettersson@myclub.se,kvinna,2000-04-05,2010-04-05,1
Oskar,Lundgren,Oskar.Lundgren@myclub.se,man,1961-01-21,1971-01-21,1
Karin,Lundgren,Karin.Lundgren@myclub.se,kvinna,1988-07-22,1998-07-22,1
Ulf,Håkansson,Ulf.Håkansson@myclub.se,man,1972-05-21,1982-05-21,1
Agneta,Berglund,Agneta.Berglund@myclub.se,kvinna,1995-06-22,2005-06-22,1
Carl,Mattsson,Carl.Mattsson@myclub.se,man,1973-11-25,1983-11-25,1
Sofia,Hansson,Sofia.Hansson@myclub.se,kvinna,1973-08-12,1983-08-12,1
Joakim,Persson,Joakim.Persson@myclub.se,man,2000-06-16,2010-06-16,1
Sofia,Söderberg,Sofia.Söderberg@myclub.se,kvinna,2004-12-17,2014-12-17,1
Fredrik,Jonsson,Fredrik.Jonsson@myclub.se,man,1963-12-21,1973-12-21,1
Karin,Nyberg,Karin.Nyberg@myclub.se,kvinna,2001-05-06,2011-05-06,1
Lennart,Lindqvist,Lennart.Lindqvist@myclub.se,man,1965-02-07,1975-02-07,1
